Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ethiopia,ETH,"Population, total",SP.POP.TOTL,34428514.0,35304012.0,36701290.0,37740817.0,38735722.0,39842136.0,41037656.0,42460039.0,44150825.0,45879690.0,47609755,49717198,51853747,53708891,55611508,57537335,59467635,61404539,63363524,65374561,67411494,69487762,71635517,73832663,76077206,78367470,80703490,83103217,85543668,88007636,90538514,93149970,95798767,98438751,101115610,103867135,106718162,109666481,112664152,115737383,118917671,122138588,125384287,128691692,132059767
Finland,FIN,"Population, total",SP.POP.TOTL,4779535.0,4799964.0,4826933.0,4855787.0,4881803.0,4902206.0,4918154.0,4932123.0,4946481.0,4964371.0,4986431,5013740,5041992,5066447,5088333,5107790,5124573,5139835,5153498,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106,5583911,5637214
Fiji,FJI,"Population, total",SP.POP.TOTL,641975.0,657471.0,673414.0,689835.0,706716.0,723761.0,739306.0,750540.0,758697.0,766321.0,773316,779656,785346,790369,794771,798746,803789,812139,822258,831828,840909,849596,858049,866286,874366,882379,890365,897832,903399,907239,910419,912989,914918,916352,917585,918578,919166,918759,917180,914899,914963,916711,919422,924145,928784
France,FRA,"Population, total",SP.POP.TOTL,55274184.0,55603353.0,55806789.0,56108330.0,56383085.0,56665619.0,56956002.0,57266167.0,57598186.0,57943062.0,58261012,58554242,58846584,59103094,59324863,59541294,59754504,59968066,60190684,60501986,60918661,61364377,61812142,62249855,62707588,63180854,63622342,64016890,64375116,64706436,65026211,65340830,65657659,65997932,66312067,66548272,66724104,66918020,67158348,67382061,67601110,67842811,68065015,68287487,68516699
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,43072.0,43626.0,44171.0,44670.0,45141.0,45707.0,46131.0,46701.0,47355.0,47958.0,47740,47446,47286,46473,44694,43610,43580,44131,44674,45146,45754,46635,47335,48032,48384,48359,48335,48378,48547,48791,48657,48543,48291,48246,48428,48901,49464,50180,50996,51793,52567,53305,53927,54439,54719
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,77407.0,79794.0,82219.0,84680.0,87176.0,89707.0,92266.0,94844.0,97097.0,99003.0,100888,102754,104806,107066,109075,110230,110710,111071,111377,111680,112044,112365,112448,112285,111925,111412,110729,109880,108936,107957,107540,107698,107890,108121,108396,108716,109075,109481,109909,110282,110916,111624,112114,112630,113160
Gabon,GAB,"Population, total",SP.POP.TOTL,748389.0,768385.0,789286.0,811005.0,833501.0,856726.0,880705.0,905479.0,931020.0,957138.0,983734,1010818,1038380,1066405,1094720,1123213,1152015,1181439,1211736,1243016,1275572,1309589,1345135,1382350,1421609,1463495,1508337,1556237,1607175,1661556,1719879,1781985,1846889,1913059,1978399,2040989,2100306,2156900,2212318,2267706,2322539,2376722,2430747,2484789,2538952
United Kingdom,GBR,"Population, total",SP.POP.TOTL,56314216.0,56333829.0,56313641.0,56332848.0,56422072.0,56550268.0,56681396.0,56802050.0,56928327.0,57076711.0,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258810,63711000,64139000,64620000,65088000,65607000,65966000,66289000,66631000,66744000,66984000,67604000,68492000,69226000
Georgia,GEO,"Population, total",SP.POP.TOTL,4467700.0,4504500.0,4542800.0,4582900.0,4622200.0,4662900.0,4704500.0,4743500.0,4790700.0,4803300.0,4802000,4835900,4873500,4911100,4836076,4657722,4491699,4349913,4243607,4157192,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502,3715483,3673850
Ghana,GHA,"Population, total",SP.POP.TOTL,11941448.0,12281712.0,12643819.0,13029836.0,13370590.0,13661229.0,13965217.0,14289108.0,14636568.0,15006813.0,15394648,15787496,16184855,16589519,16993190,17399017,17810181,18238958,18688036,19149864,19637087,20167069,20729388,21296705,21868298,22449438,23040702,23642279,24249946,24862664,25474995,26095088,26734268,27386193,28041592,28696068,29356742,30008354,30637585,31258945,31887809,32518665,33149152,33787914,34427414
Gibraltar,GIB,"Population, total",SP.POP.TOTL,28675.0,28740.0,28765.0,28733.0,28643.0,28512.0,28328.0,28096.0,27839.0,27544.0,27200,26898,26878,27070,27239,27377,27487,27582,27650,27692,27709,27657,27831,28274,28715,29163,29594,30006,30413,30823,31248,31660,32029,32407,32813,33193,33658,34245,34854,35494,36173,36858,37609,38471,39329
Guinea,GIN,"Population, total",SP.POP.TOTL,5047419.0,5143288.0,5247672.0,5359814.0,5480096.0,5610373.0,5750668.0,5900198.0,6056574.0,6215811.0,6434374,6697166,6914366,7128177,7345107,7553249,7770035,7931370,8081990,8265123,8428832,8539960,8674066,8870781,9062726,9245844,9441171,9662281,9898870,10143534,10396086,10656810,10921581,11191873,11472924,11767070,12073030,12385659,12704774,13034346,13371183,13710513,14055137,14405468,14754785
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,713913.0,739125.0,765753.0,794525.0,825631.0,858874.0,894019.0,931091.0,970160.0,1011357.0,1054696,1099959,1145582,1188365,1227226,1264313,1301410,1338889,1376987,1415779,1455084,1495011,1535691,1577611,1621312,1667037,1715275,1765774,1817852,1871422,1926630,1983784,2043094,2103820,2164528,2224529,2283769,2342189,2399632,2456844,2515733,2576010,2636470,2697845,2759988
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,829303.0,842432.0,855891.0,869592.0,883519.0,897697.0,912126.0,926862.0,942061.0,957789.0,973669,994639,1024356,1058745,1092031,1119949,1143535,1165545,1187473,1210206,1234741,1261273,1289307,1318806,1349563,1381585,1415303,1450986,1488054,1526377,1566347,1608076,1651417,1695973,1741122,1786457,1831893,1877072,1922168,1967696,2013255,2058841,2105529,2153339,2201352
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,288644.0,303252.0,322216.0,343421.0,364899.0,385547.0,404728.0,422522.0,439651.0,456808.0,474274,492217,510770,530023,550138,571264,593492,616893,641474,667214,703279,749836,797957,847862,899917,947367,990343,1036044,1084530,1135673,1189085,1241835,1293483,1346218,1399828,1453923,1508186,1562396,1616422,1670177,1716468,1758786,1803545,1847549,1892516
Greece,GRC,"Population, total",SP.POP.TOTL,9642505.0,9729350.0,9789513.0,9846627.0,9895801.0,9934300.0,9967213.0,10000595.0,10036983.0,10089498.0,10196792,10319927,10399061,10460415,10512922,10562153,10608800,10661259,10720509,10761698,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10436882,10405588,10388805
Grenada,GRD,"Population, total",SP.POP.TOTL,94538.0,94052.0,94383.0,94948.0,95498.0,96111.0,96790.0,97526.0,98308.0,99121.0,99957,100793,101602,102382,103138,103869,104584,105293,106009,106727,107451,107987,108404,108884,109323,109734,110135,110522,110896,111254,111586,112079,112775,113487,114132,114676,115130,115438,115691,115981,116341,116688,116913,117081,117207
Greenland,GRL,"Population, total",SP.POP.TOTL,50200.0,51000.0,51500.0,52100.0,52700.0,53200.0,53500.0,54100.0,54800.0,55300.0,55600,55500,55300,55200,55500,55800,55900,56000,56100,56100,56185,56379,56595,56751,56898,56935,56775,56555,56328,56323,56534,56890,56810,56483,56295,56114,56186,56172,56023,56225,56367,56653,56661,56865,56836
Guatemala,GTM,"Population, total",SP.POP.TOTL,6900212.0,7075648.0,7240241.0,7419642.0,7630682.0,7849693.0,8070818.0,8296485.0,8532099.0,8775546.0,9024773,9272584,9522266,9779761,10043718,10312996,10583526,10857754,11139145,11422965,11697592,11969422,12246915,12525842,12807402,13087629,13367459,13652040,13935174,14215611,14500112,14792126,15089647,15387337,15681725,15971743,16268760,16567357,16845685,17103803,17357325,17598650,17847877,18124838,18406359
Guam,GUM,"Population, total",SP.POP.TOTL,110141.0,112902.0,115711.0,118508.0,121302.0,124117.0,126965.0,129858.0,132799.0,135799.0,138610,141073,143393,145654,147868,150054,152169,154215,156237,158289,160065,161329,162315,163137,163810,164365,164839,165267,165693,166173,166522,166543,166331,165966,165486,164905,164233,163490,162679,161808,162158,163730,165180,166506,167777
Guyana,GUY,"Population, total",SP.POP.TOTL,774367.0,776453.0,776712.0,775891.0,774111.0,771477.0,768098.0,764120.0,759663.0,754865.0,749894,747861,749911,752965,755822,758388,760526,762245,763586,764483,764832,764477,763652,763101,762418,760914,758966,756861,754606,752094,749256,746153,746288,750021,754229,758781,763548,768479,791556,807665,807481,815482,821637,826353,831087
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,5063100.0,5183400.0,5264500.0,5345100.0,5397900.0,5456200.0,5524600.0,5580500.0,5627600.0,5686200.0,5704500,5752000,5800500,5901000,6035400,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100,7536100,7524100
Honduras,HND,"Population, total",SP.POP.TOTL,3727173.0,3841778.0,3958728.0,4078174.0,4199850.0,4323342.0,4448899.0,4576910.0,4707677.0,4841838.0,4980488,5123792,5271431,5423249,5579242,5739637,5903954,6071454,6234431,6400463,6577773,6757993,6938859,7119213,7298994,7478355,7656832,7834798,8012587,8189899,8365878,8540583,8715076,8889278,9063122,9237305,9412380,9588137,9765210,9943633,10119640,10289877,10463872,10644851,10825703
Croatia,HRV,"Population, total",SP.POP.TOTL,4599782.0,4611509.0,4634234.0,4658254.0,4680285.0,4701417.0,4721446.0,4739745.0,4755207.0,4767260.0,4777368,4689022,4575818,4600463,4652024,4620030,4557097,4534920,4532135,4512597,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4260368,4233922,4201598,4151725,4106867,4041407,3988775,3949390,3914206,3878981,3855641,3859686,3866300
Haiti,HTI,"Population, total",SP.POP.TOTL,5614493.0,5723725.0,5835937.0,5951096.0,6069230.0,6190862.0,6316122.0,6445123.0,6578145.0,6714730.0,6854441,6995450,7136571,7278181,7419771,7562546,7707557,7854298,8002143,8151296,8303151,8455918,8607641,8759912,8910263,9061273,9216562,9373296,9530774,9689581,9803294,9914904,10069771,10222362,10373235,10523242,10671457,10817754,10962362,11105163,11243848,11374586,11503606,11637398,11772557
Hungary,HUN,"Population, total",SP.POP.TOTL,10711122.0,10711848.0,10705535.0,10689463.0,10668095.0,10648713.0,10630564.0,10612741.0,10596487.0,10481719.0,10373988,10373400,10369341,10357523,10343355,10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9872734,9833038,9797755,9759755,9726756,9706964,9694824,9670419,9630932,9605074,9592186,9562314
Indonesia,IDN,"Population, total",SP.POP.TOTL,148950540.0,152485035.0,156052152.0,159651381.0,163251124.0,166776185.0,170175065.0,173511154.0,176855065.0,180201630.0,183501098,186778238,190043744,193305168,196591828,199888057,203204348,206536095,209826788,213004668,216077790,219097902,222088495,225048008,227926649,230871650,233951652,237062337,240157903,243220028,246305322,249470032,252698525,255852467,258877399,261799249,264627418,267346658,269951846,272489381,274814866,276758053,278830529,281190067,283487931
Isle of Man,IMN,"Population, total",SP.POP.TOTL,64076.0,64596.0,64686.0,64630.0,64528.0,64401.0,64695.0,65597.0,66680.0,67790.0,68916,69808,70353,70772,71168,71513,72047,72909,73861,74790,75659,76476,77275,78049,78792,79516,80294,81147,82029,82939,83873,84382,84335,84141,83892,83593,83466,83609,83805,83957,84064,84106,84132,84165,84160
India,IND,"Population, total",SP.POP.TOTL,687354025.0,703696250.0,720313473.0,737372681.0,754875449.0,772647793.0,790689978.0,808931270.0,827342990.0,846039529.0,864972221,883927600,902957070,922118387,941163767,960301044,979678458,999133762,1018665080,1038225823,1057922733,1077898575,1097600380,1116803006,1135991513,1154676322,1172878890,1190676021,1207930964,1225524753,1243481564,1261224954,1278674502,1295829511,1312277191,1328024498,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596,1450935791
Ireland,IRL,"Population, total",SP.POP.TOTL,3412800.0,3453000.0,3485800.0,3510600.0,3532423.0,3538082.0,3539690.0,3540057.0,3524949.0,3511009.0,3513974,3534235,3558430,3576261,3590386,3608841,3637510,3674171,3712696,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4762722,4827445,4898022,4976456,5039747,5110585,5212836,5307600,5380257
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,39842324.0,41989312.0,44272141.0,46029535.0,47793998.0,49582289.0,51446045.0,53323493.0,55072694.0,56704914.0,58380092,59986931,61184983,61403543,61520598,62205567,62881300,63639638,64519859,65445391,66418659,67452005,68011317,68769340,70256316,71828455,73392747,74602648,75514204,76457825,77420842,78383598,79370580,80414686,81502045,82619362,83812228,85026754,86117998,87051648,87723443,88455488,89524246,90608707,91567738
Iraq,IRQ,"Population, total",SP.POP.TOTL,13591992.0,14006381.0,14406083.0,14840555.0,15310733.0,15683430.0,16074145.0,16521049.0,16908819.0,17364542.0,17581206,17767253,18300845,19201195,20139807,20825860,21501321,22176593,22884399,23636527,24424056,25197840,26006559,26802659,27577878,28407448,28616515,28391607,28971036,30058206,31045366,32161424,33654842,35281989,36550059,37560535,38469627,39337353,40265624,41192171,42116605,43071211,44070551,45074049,46042015
Iceland,ISL,"Population, total",SP.POP.TOTL,228138.0,230755.0,233860.0,236977.0,239511.0,241405.0,243180.0,245859.0,249740.0,252852.0,254826,257797,261057,263725,266021,267468,268916,271128,274047,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,352721,360563,366463,372520,382003,393349,404610
Israel,ISR,"Population, total",SP.POP.TOTL,3878000.0,3956000.0,4031000.0,4105000.0,4159000.0,4233000.0,4299000.0,4369000.0,4442000.0,4518000.0,4660000,4949000,5123000,5261000,5399000,5545000,5692000,5836000,5971000,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9371400,9557500,9849000,9974400
Italy,ITA,"Population, total",SP.POP.TOTL,56433883.0,56501675.0,56543548.0,56564074.0,56576718.0,56593071.0,56596155.0,56601931.0,56629288.0,56671781.0,56719240,56758521,56797087,56831821,56843400,56844303,56860281,56890372,56906744,56916317,56942108,56976981,57089824,57399184,57828179,58166682,58399861,58756247,59211181,59555454,59819407,60026841,60191247,60311613,60320707,60229605,60115223,60002252,60148658,59729081,59438851,59133173,59013667,58993475,58986023
Jamaica,JAM,"Population, total",SP.POP.TOTL,2145658.0,2173818.0,2203889.0,2234832.0,2264562.0,2290656.0,2312125.0,2329813.0,2345777.0,2361916.0,2379877,2400869,2424701,2449916,2475220,2500151,2524463,2547848,2569736,2589795,2607826,2624403,2640572,2656623,2672225,2687066,2700968,2713800,2725635,2736995,2748568,2760494,2772430,2783687,2793749,2802534,2809915,2815764,2820097,2823271,2830739,2837682,2839144,2839786,2839175
Jordan,JOR,"Population, total",SP.POP.TOTL,2234186.0,2325517.0,2426927.0,2537307.0,2654688.0,2778810.0,2909887.0,3047634.0,3193039.0,3349627.0,3621908,3915149,4127693,4348020,4561406,4752096,4912516,5046285,5164284,5276444,5386945,5498894,5616066,5741828,5882061,6029587,6427371,6827227,6989866,7141753,7297043,7480424,7587127,7991809,8791710,9544729,10006367,10234226,10462306,10671891,10865228,11066356,11256263,11439213,11552876
Japan,JPN,"Population, total",SP.POP.TOTL,116807000.0,117661000.0,118480000.0,119307000.0,120083000.0,120837000.0,121482000.0,122069000.0,122578000.0,123069000.0,123478000,123964000,124425000,124829000,125178000,125472000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989,124516650,123975371
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,15152949.0,15323082.0,15492595.0,15665551.0,15844621.0,16031090.0,16262702.0,16527715.0,16781168.0,16997013.0,17154054,17278600,17332625,17274487,17043771,16730536,16416027,16043251,15647785,15455874,15501103,15575550,15656677,15747380,15850159,15968117,16103716,16257214,16426525,16619846,16836810,17066002,17306106,17556502,17816285,18084169,18363600,18651931,18932727,19209555,19482117,19743603,20034609,20330104,20592571
Kenya,KEN,"Population, total",SP.POP.TOTL,16018459.0,16601507.0,17206175.0,17846374.0,18514906.0,19201768.0,19901646.0,20616096.0,21356219.0,22118434.0,22892651,23646514,24382460,25117188,25857130,26601751,27344211,28101768,28888057,29733408,30642890,31619170,32629808,33652223,34713455,35796484,36904008,38036349,39206351,40408891,41598567,42758461,43888303,44986791,46051440,47088526,48139687,49197766,50207107,51202827,52217334,53219166,54252461,55339003,56432944
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,3617400.0,3685800.0,3759300.0,3838300.0,3916400.0,3990300.0,4066500.0,4144600.0,4218400.0,4307500.0,4391236,4463634,4515400,4516777,4515069,4560454,4628438,4696421,4769015,4840422,4898362,4945073,4990704,5043308,5104713,5162640,5218373,5268385,5318729,5389643,5467059,5546587,5652076,5777150,5905848,6040036,6175338,6306696,6444079,6590211,6726596,6851224,6975220,7099750,7224614
Cambodia,KHM,"Population, total",SP.POP.TOTL,5199872.0,5284495.0,5436432.0,5636203.0,5845117.0,6043783.0,6285693.0,6557970.0,6812014.0,7073473.0,7374752,7686850,8113083,8616381,9239162,10018497,10801270,11570982,12058173,12265731,12462336,12658484,12855241,13050968,13244731,13439202,13639028,13841770,14053479,14276810,14500726,14722584,14945085,15170208,15396772,15623251,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880,17638801
Kiribati,KIR,"Population, total",SP.POP.TOTL,61148.0,62121.0,63134.0,64169.0,65228.0,66496.0,68059.0,69733.0,71427.0,73147.0,74855,76367,77641,78841,80021,81234,82623,84147,85657,87126,88613,90335,92264,94175,96085,98035,100017,102068,104222,106467,108704,110647,112284,113838,115326,116815,118478,120275,122084,123921,126099,128377,130469,132530,134518
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,42850.0,42698.0,42532.0,42334.0,42113.0,41874.0,41618.0,41348.0,41062.0,40758.0,40432,40358,40715,41242,41776,42326,42877,43428,43998,44601,45248,45761,46020,46176,46315,46437,46569,46706,46835,46916,46846,46886,47033,47069,47089,47087,47075,47050,47008,46952,46870,46763,46709,46758,46843
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,38123775.0,38723248.0,39326352.0,39910403.0,40405956.0,40805744.0,41213674.0,41621690.0,42031247.0,42449038.0,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51769539,51672569,51712619,51751065
Kuwait,KWT,"Population, total",SP.POP.TOTL,1504782.0,1583426.0,1662480.0,1744295.0,1820688.0,1894242.0,1972520.0,2052994.0,2134707.0,2217468.0,1684819,1351399,1634961,1672151,1664361,1681513,1730246,1787683,1844302,1900030,1954709,2008121,2059974,2109881,2157320,2236788,2364733,2507887,2651421,2795484,2943372,3132814,3337109,3507844,3665876,3834574,4004096,4154812,4323515,4442316,4400267,4360865,4589643,4853420,4973861
Lao PDR,LAO,"Population, total",SP.POP.TOTL,3292573.0,3366631.0,3450026.0,3541001.0,3637843.0,3739985.0,3846715.0,3957612.0,4072601.0,4190974.0,4311955,4435118,4559646,4685060,4809220,4929409,5045678,5152011,5248266,5340784,5431212,5521482,5610889,5697945,5781626,5869523,5963200,6056236,6148969,6241642,6334194,6426590,6518978,6611385,6703172,6801645,6908802,7018147,7128045,7237636,7346533,7453194,7559007,7664993,7769819
Lebanon,LBN,"Population, total",SP.POP.TOTL,2944763.0,3008981.0,3054931.0,3094996.0,3152744.0,3217376.0,3300365.0,3385555.0,3454649.0,3525285.0,3595175,3668912,3747371,3820647,3889799,3960735,4034781,4108405,4181281,4255277,4329340,4401918,4463504,4525508,4599279,4671102,4751136,4844118,4925354,4992287,5041288,5096020,5235742,5743436,6346990,6472469,6323060,6160128,5984119,5794594,5702398,5718122,5744489,5773493,5805962
Liberia,LBR,"Population, total",SP.POP.TOTL,1929253.0,1986867.0,2045073.0,2107113.0,2173312.0,2240539.0,2308511.0,2377229.0,2446941.0,2517858.0,2223667,1956518,2072461,2155126,2149928,2169162,2232289,2412989,2670124,2821684,2928117,3015338,3094782,3119532,3156892,3301015,3490787,3669050,3821003,3943028,4058890,4221178,4373043,4470239,4564293,4659431,4755608,4848925,4944726,5043721,5149463,5259323,5373294,5493031,5612817
Libya,LBY,"Population, total",SP.POP.TOTL,3424378.0,3621486.0,3724765.0,3718961.0,3773633.0,3898745.0,4017403.0,4129739.0,4237755.0,4342920.0,4445239,4544400,4640352,4733045,4822037,4906843,4987393,5064639,5140704,5218038,5305021,5403639,5508410,5619398,5736693,5858798,5980211,6104380,6235430,6366686,6497839,6343203,6179328,6304628,6427252,6531819,6632126,6738770,6849055,6951033,7045399,7135175,7223805,7305659,7381023
St. Lucia,LCA,"Population, total",SP.POP.TOTL,119290.0,121166.0,123087.0,125044.0,127067.0,129159.0,131239.0,133227.0,135000.0,136512.0,137857,139520,141617,143726,145890,148208,150436,152569,154677,156702,158616,160237,161641,162976,164239,165450,166639,167758,168808,169869,170906,171801,172587,173369,174138,174905,175646,176342,177017,177661,178250,178522,178781,179285,179744
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,25512.0,25673.0,26255.0,26446.0,26596.0,26878.0,27238.0,27557.0,27948.0,28317.0,28742,29209,29627,30089,30470,30776,31033,31232,31668,32221,32645,33194,33694,34079,34447,34753,35037,35262,35473,35742,36022,36312,36657,36984,37248,37494,37716,37962,38246,38563,38901,39182,39493,39850,40197
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,14847974.0,15099414.0,15286567.0,15388794.0,15441860.0,15544154.0,15731256.0,15916576.0,16078621.0,16248557.0,16352458,16475354,16739284,17025918,17275773,17564068,17905018,18248200,18596003,18944731,19293054,19600362,19805752,19951521,20087605,20216524,20352411,20492545,20629378,20756435,20879089,21009048,21169458,20585000,20778000,20970000,21209000,21453000,21670000,21803000,21919000,22156000,22181000,22037000,21916000
Lesotho,LSO,"Population, total",SP.POP.TOTL,1406521.0,1448069.0,1490732.0,1534413.0,1578986.0,1624379.0,1666138.0,1703390.0,1739841.0,1775436.0,1809696,1842379,1873274,1901793,1927707,1951437,1972418,1988130,1998049,2003234,2003913,2000853,1994679,1985059,1971129,1953076,1945063,1953268,1966541,1980883,1996251,2014009,2034354,2056504,2080089,2104611,2130422,2157110,2183603,2209405,2235727,2261542,2286110,2311472,2337423
Lithuania,LTU,"Population, total",SP.POP.TOTL,3413202.0,3432947.0,3457179.0,3485192.0,3514205.0,3544543.0,3578914.0,3616367.0,3655049.0,3684255.0,3697838,3704134,3700114,3682613,3657144,3629102,3601613,3575137,3549331,3524238,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2989139,2961250,2937253,2911109,2877325,2842639,2819200,2811089,2810369,2808380,2831639,2871585,2888055
Luxembourg,LUX,"Population, total",SP.POP.TOTL,364150.0,365225.0,365525.0,365622.0,365998.0,366706.0,368355.0,370750.0,373450.0,377100.0,381850,387000,392175,397475,402925,408625,414225,419450,424700,430475,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569604,582014,596336,607950,620001,630419,640064,653103,666430,677717
Latvia,LVA,"Population, total",SP.POP.TOTL,2511701.0,2519421.0,2531080.0,2546011.0,2562047.0,2578873.0,2599892.0,2626583.0,2653434.0,2666955.0,2663151,2650581,2614338,2563290,2520742,2485056,2457222,2432851,2410019,2390482,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1879383,1877445,1862441
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,239650.0,244800.0,254650.0,269300.0,282850.0,289700.0,296050.0,306850.0,316000.0,325100.0,334950,351650,370900,384000,396800,409300,415100,417300,422300,427400,430600,433900,438400,443600,454700,473500,498900,520900,540700,535000,537000,549600,567900,591900,621700,642900,652500,648400,658900,672000,685400,682500,677300,678800,687000
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,8288.0,8498.0,9494.0,11485.0,13733.0,16095.0,18558.0,21108.0,23749.0,26453.0,28224,28800,29081,29282,29413,29470,29443,29323,29107,29284,29996,30803,31604,32395,33171,33928,34658,35337,35958,36502,36856,37069,37276,37419,37450,37369,37175,36837,36012,34267,31786,29961,28870,27515,26129
Morocco,MAR,"Population, total",SP.POP.TOTL,19459943.0,19985401.0,20520318.0,21060696.0,21593778.0,22113953.0,22600803.0,23054392.0,23500524.0,23939414.0,24375551,24799014,25212468,25614586,26000822,26399429,26808107,27213337,27621648,28027179,28423435,28814643,29198142,29571415,29953018,30358144,30771178,31186468,31606767,32030778,32467016,32912588,33355241,33787571,34204780,34607588,35023457,35446392,35839760,36210898,36584208,36954442,37329064,37712505,38081173
Monaco,MCO,"Population, total",SP.POP.TOTL,27122.0,27293.0,27561.0,27960.0,28356.0,28731.0,29093.0,29446.0,29781.0,30084.0,30358,30625,30887,31136,31375,31609,31837,32063,32267,32410,32455,32447,32422,32374,32307,32210,32057,31837,31836,32364,33163,33946,34711,35447,36128,36757,37276,37678,38154,38109,38050,38527,38931,38956,38631
Moldova,MDA,"Population, total",SP.POP.TOTL,2708675.0,2735987.0,2763101.0,2791207.0,2820518.0,2850787.0,2883057.0,2916306.0,2948891.0,2970039.0,2977912,2981566,2980965,2975966,2966745,2953200,2947293,2936413,2935227,2930622,2924668,2918135,2911385,2903198,2896023,2888985,2880967,2874299,2868833,2865213,2862354,2860699,2860324,2859558,2857815,2835978,2803186,2755189,2707203,2664224,2635130,2595809,2528654,2457783,2389275
Madagascar,MDG,"Population, total",SP.POP.TOTL,9006032.0,9279011.0,9557671.0,9843044.0,10134550.0,10433142.0,10736857.0,11047291.0,11369462.0,11704998.0,12055639,12421412,12800870,13197345,13613850,14051275,14510711,14990814,15489364,16000506,16516338,17032939,17549913,18071854,18606608,19159707,19730909,20318583,20923840,21547280,22183340,22822300,23462438,24109290,24764348,25426702,26099952,26788375,27494926,28219554,28953556,29691083,30437261,31195932,31964956
Maldives,MDV,"Population, total",SP.POP.TOTL,164835.0,169532.0,174333.0,179128.0,184198.0,190169.0,196935.0,203944.0,210885.0,217738.0,224762,231802,238543,244884,250822,256649,262347,267707,272723,277412,282019,286767,291616,296491,301413,306429,313851,324479,336170,348275,360792,373674,386818,400070,413617,428154,443308,458287,473099,487731,502118,516154,524106,525994,527799
