Country Name,Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Benin,BEN,1405251847.0,1291120188.0,1267778670.0,1095348199.0,1051134009.0,1045712789.0,1336102025.0,1562412228.0,1620246084.0,1502294416.0,1959965330.0,1986437797.0,1695315306.0,2274558083.0,1598075944.0,2169627138.0,2361116449.0,2268301646.0,2455092686.0,3677393999.0,3519991440.0,3666222635.0,4194342686.0,5349258094.0,6190270380.0,6567654954.0,7034111315.0,8169048383.0,9787734526.0,9738626517.0,9535345016.0,10693321364.0,11141358116.0,12517845124.0,13284527847.0,11388160997.0,11821065853.0,12701655837.0,14262408090.0,14391686313.0,15686741894.0,17687623535.0,17425405084.0
Burkina Faso,BFA,1928719888.0,1775842334.0,1754450096.0,1600278605.0,1459880132.0,1552493196.0,2036303358.0,2369834950.0,2616040479.0,2615587734.0,3101300779.0,3135045584.0,3356692505.0,3199536465.0,1895290637.0,2379517975.0,2586550595.0,2447669102.0,2804902367.0,3389566713.0,2968370088.0,3190371081.0,3622350063.0,4740768143.0,5451688538.0,6146353173.0,6547419820.0,7625722837.0,9451435490.0,9450696873.0,10109619741.0,12080295978.0,12561015157.0,13444300486.0,13943016077.0,11832159316.0,12833363045.0,14106955615.0,15890066221.0,16032813503.0,17725010533.0,19697516284.0,18820218691.0
Bangladesh,BGD,18138049096.0,20249694002.0,18525399202.0,17609048822.0,18920840000.0,22278423077.0,21774033333.0,24298032258.0,26579005558.0,28781715189.0,31598340778.0,30957483950.0,31708874594.0,33166519418.0,33768660883.0,37939748769.0,46438484108.0,48244309133.0,49984559471.0,51270569884.0,53369787319.0,53991289844.0,54724081491.0,60158929188.0,65108544250.0,69476001239.0,71795736172.0,79611644975.0,91636997371.0,102000000000.0,115000000000.0,129000000000.0,133000000000.0,150000000000.0,173000000000.0,195000000000.0,265000000000.0,294000000000.0,321000000000.0,351000000000.0,374000000000.0,416000000000.0,460000000000.0
Bulgaria,BGR,19839230769.0,19870000000.0,19342000000.0,16563666667.0,17594944444.0,17155421053.0,20249294118.0,28101000000.0,22555941176.0,21988444444.0,20632090909.0,7628738475.0,8602887623.0,10832064942.0,9709240034.0,18991484420.0,12294964838.0,11316127379.0,15031055047.0,13637098579.0,13245990274.0,14183446026.0,16403043850.0,21144957990.0,26157743369.0,29868657858.0,34380536496.0,44431257129.0,54480684188.0,52023801230.0,50689051382.0,57681293007.0,54297052002.0,55819262375.0,57080897012.0,50765918159.0,53929397039.0,59167647388.0,66251582036.0,68634004792.0,70550652467.0,84414122840.0,90509236929.0
Bahrain,BHR,3493834468.0,3943109532.0,4145421080.0,4247030468.0,4440874566.0,4152376484.0,3470746843.0,3856922694.0,4209834173.0,4393093963.0,4809511005.0,5248911170.0,5402232447.0,5913001064.0,6330627926.0,6651180851.0,6938166755.0,7219407713.0,7031309043.0,7528469149.0,9062898936.0,8976196809.0,9593510638.0,11074813830.0,13150159574.0,15968723404.0,18504760638.0,21730000000.0,25710904255.0,22938218085.0,26805984043.0,29914680851.0,31963404255.0,33823324468.0,34772526596.0,32523297872.0,33884680851.0,37204813830.0,39567978723.0,40446808511.0,35837632979.0,40840212766.0,46458191489.0
"Bahamas, The",BHS,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720400000.0,10475300000.0,11139100000.0,11837600000.0,11880900000.0,12446900000.0,12819200000.0,13277000000.0,10363200000.0,12037000000.0,13896800000.0
Belize,BLZ,257400000.0,260750000.0,248550000.0,262150000.0,290350000.0,287300000.0,311500000.0,371100000.0,421450000.0,491100000.0,547150000.0,597100000.0,696250000.0,752850000.0,772300000.0,819050000.0,850850000.0,873400000.0,929500000.0,1000250000.0,1138900000.0,1172800000.0,1244650000.0,1308900000.0,1400850000.0,1474950000.0,1591150000.0,1707100000.0,1738900000.0,1688500000.0,1745700000.0,1827050000.0,1909400000.0,2032750000.0,2138250000.0,2193050000.0,2240200000.0,2266300000.0,2293250000.0,2388300000.0,2042850000.0,2420550000.0,2846700000.0
Bermuda,BMU,613299968.0,739100032.0,785500032.0,889400000.0,985699968.0,1039500032.0,1173500032.0,1296499968.0,1415100032.0,1501500032.0,1592400000.0,1634900000.0,1679900000.0,1820359900.0,1867160100.0,2030750000.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6887364000.0,7290037000.0,7874381000.0
Bolivia,BOL,4450360000.0,5778480000.0,5600390625.0,5414008621.0,6169304528.0,5377276657.0,3959383520.0,4347956338.0,4597611710.0,4715973437.0,4867582598.0,5343262457.0,5643868749.0,5734699489.0,5981222859.0,6715161732.0,7396949126.0,7925736821.0,8497494652.0,8285064435.0,8397855485.0,8141516928.0,7905485146.0,8082399640.0,8773451752.0,9549122905.0,11451844902.0,13120108008.0,16674276286.0,17339992194.0,19649723722.0,23963164697.0,27084497482.0,30659338886.0,32996188017.0,33000198249.0,33941126194.0,37508642171.0,40287647931.0,40895322851.0,36629843806.0,40406111693.0,44008282880.0
Brazil,BRA,237000000000.0,258000000000.0,271000000000.0,190000000000.0,188000000000.0,211000000000.0,256000000000.0,283000000000.0,308000000000.0,413000000000.0,385000000000.0,343000000000.0,328000000000.0,368000000000.0,525000000000.0,769000000000.0,850000000000.0,883000000000.0,864000000000.0,600000000000.0,655000000000.0,560000000000.0,510000000000.0,558000000000.0,669000000000.0,892000000000.0,1110000000000.0,1400000000000.0,1700000000000.0,1670000000000.0,2210000000000.0,2620000000000.0,2470000000000.0,2470000000000.0,2460000000000.0,1800000000000.0,1800000000000.0,2060000000000.0,1920000000000.0,1870000000000.0,1480000000000.0,1670000000000.0,1950000000000.0
Barbados,BRB,1012280615.0,1114204743.0,1163923830.0,1236016507.0,1346890071.0,1409536121.0,1547755183.0,1704370308.0,1812757918.0,2006165167.0,2012131457.0,2020583702.0,1957000000.0,2063342117.0,2151344901.0,2216974096.0,2363645403.0,2498384130.0,2817083478.0,2951822205.0,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217323400.0,4675767950.0,4790410400.0,4466809600.0,5191188500.0,5342183800.0,5271257500.0,5361158350.0,5365976700.0,5288057750.0,5330761500.0,5517340450.0,5629916200.0,5788288000.0,5168344450.0,5275242050.0,6257303500.0
Brunei Darussalam,BRN,10795432294.0,9367218664.0,8932198186.0,7927590750.0,7632788075.0,6967623884.0,4190280003.0,4918010080.0,4535130305.0,4983622881.0,6039881087.0,6284497300.0,6327966445.0,6203339925.0,6467782521.0,7700144057.0,7663377277.0,7793034390.0,5550846025.0,6309070375.0,6570999060.0,6096155748.0,6333082879.0,7167725265.0,8619178799.0,10547202612.0,12644616446.0,13432029496.0,15926456492.0,11912904529.0,13707121031.0,18524791071.0,19048443340.0,18094148099.0,17097797372.0,12930296852.0,11400266055.0,12128168047.0,13566908401.0,13469235348.0,12005799664.0,14006496614.0,16681536443.0
